,Product Name,Price,Net,Brand,IMG1,IMG2,IMG3,IMG4,Sold By
0,Coles Cranberry Sauce,$3.75,275g,Coles,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13213979_XL1_20220320.jpg?w=1200&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13213979_LXL1_20220320.jpg?w=108&q=70,None,None,Cartons & Variety DS
1,Coles Ultimate 40% Triple Chocolate Chip Cookies,$7.80,400g,Coles,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13214083_XL1_20220320.jpg?w=1200&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13214083_LXL1_20220320.jpg?w=108&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13214083_BXL1_20220320.jpg?w=108&q=70,None,Cartons & Variety DS
2,Coles Belgian Dark Chocolate - 85% Cocoa,$2.95,100g,Coles,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13214055_XL1_20220320.jpg?w=1200&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13214055_BXL1_20220320.jpg?w=108&q=70,None,None,Cartons & Variety DS
3,Coles Finest Belgian Dark Chocolate - Roast Almond,$2.95,100g,Coles,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13214053_XL1_20220320.jpg?w=1200&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13214053_BXL1_20220320.jpg?w=108&q=70,None,None,Cartons & Variety DS
4,Coles Urban Coffee Culture Coffee Capsules - Strong,$6.80,52g,Coles,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13212464_XL1_20221028.jpg?w=1200&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13212464_LXL1_20220401.jpg?w=108&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13212464_RXL1_20220401.jpg?w=108&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13212464_BXL1_20220401.jpg?w=108&q=70,None
5,Coles Urban Coffee Culture Coffee Capsules - Intense,$6.80,52g,Coles,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13212461_XL1_20221028.jpg?w=1200&q=70,None,None,None,None
6,Coles Tomato Salsa - Mild,$2.50,300g,Coles,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13214120_XL1_20220320.jpg?w=1200&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13214120_LXL1_20220320.jpg?w=108&q=70,None,None,Cartons & Variety DS
7,Coles Ultimate 40% Chocolate & Salted Caramel Chip Cookies,$7.80,400g,Coles,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13214082_XL1_20220320.jpg?w=1200&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13214082_LXL1_20220320.jpg?w=108&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13214082_BXL1_20220320.jpg?w=108&q=70,None,Cartons & Variety DS
8,Coles Belgian Dark Chocolate - 70% Cocoa,$2.95,100g,Coles,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13214054_XL1_20220320.jpg?w=1200&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13214054_BXL1_20220320.jpg?w=108&q=70,None,None,Cartons & Variety DS
9,Coles Urban Coffee Culture Ground Coffee Powder - Organic,$7.80,250g,Coles,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13212446_XL1_20221028.jpg?w=1200&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13212446_LXL1_20220413.jpg?w=108&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13212446_RXL1_20220413.jpg?w=108&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13212446_BXL1_20220413.jpg?w=108&q=70,None
